Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
"Conflict and Health","Confl Health","","1752-1505","BioMed Central","101286573","v.11;2017","v.1;2007","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/477/
"Conservation Physiology","Conserv Physiol","","2051-1434","Oxford University Press","101656116","v.5(1);2017","v.1;2013","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2790/
"Contemporary Clinical Dentistry","Contemp Clin Dent","0976-237X","0976-2361","Medknow Publications","101552967","v.8(1);Jan-Mar 2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1605/
"Contemporary Oncology","Contemp Oncol (Pozn)","1428-2526","1897-4309","Termedia Publishing","101233223","v.21(1);2017","v.16;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2127/
"Continuum : Lifelong Learning in Neurology","Continuum (Minneap Minn)","1080-2371","1538-6899","American Academy of Neurology","9509333","v.22(2 Dementia);Apr 2016","v.18;2012","","No"," Full "," Now Select ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Continuum+(Minneap+Minn)%22%5Bjournal%5D
"Core Evidence","Core Evid","1555-1741","1555-175X","Dove Press","101256593","v.12;2017","v.1;2005","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1264/
"Cost Effectiveness and Resource Allocation : C/E","Cost Eff Resour Alloc","","1478-7547","BioMed Central","101170476","v.15;2017","v.1;2003","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/198/
"Cough (London, England)","Cough","","1745-9974","BioMed Central","101245793","v.10;2014","v.1;2005","","All"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/352/
"CPT: Pharmacometrics &#x0026; Systems Pharmacology","CPT Pharmacometrics Syst Pharmacol","","2163-8306","Wiley-Blackwell","101580011","v.6(5);May 2017","v.1;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2038/
"Craniomaxillofacial Trauma &#x0026; Reconstruction","Craniomaxillofac Trauma Reconstr","1943-3875","1943-3883","Thieme Medical Publishers","101541666","v.10(2);Jun 2017","v.1;2008","12 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1449/
"Critical Care","Crit Care","1364-8535","1466-609X","BioMed Central","9801902","v.21;2017","v.1;1997","0 months or more","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/9/
"Critical Care Research and Practice","Crit Care Res Pract","2090-1305","2090-1313","Hindawi Publishing Corporation","101539357","v.2017;2017","v.2010;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1315/
"Critical Ultrasound Journal","Crit Ultrasound J","2036-3176","2036-7902","Springer-Verlag","101517925","v.9;2017","v.4;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1837/
"Croatian Medical Journal","Croat Med J","0353-9504","1332-8166","Medicinska Naklada","9424324","v.58(2);Apr 2017","v.47;2006","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/394/
"Cureus","Cureus","","2168-8184","Cureus Inc.","101596737","v.9(4);Apr 2017","v.6;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2757/
"Current Cardiology Reviews","Curr Cardiol Rev","1573-403X","1875-6557","Bentham Science Publishers","101261935","v.13(2);May 2017","v.4;2008","12 months","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/982/
"Current Chemical Genomics and Translational Medicine","Curr Chem Genom Transl Med","","2213-9885","Bentham Science Publishers","101616960","v.11;2017","v.7;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2275/
"Current Chemical Genomics","Curr Chem Genomics","","1875-3973","Bentham Science Publishers","101513465","v.6;2012","v.1;2008","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/983/
"Current Controlled Trials in Cardiovascular Medicine","Curr Control Trials Cardiovasc Med","1468-6708","1468-6694","BioMed Central","100968052","v.6(1);2005","v.1;2000","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/79/
"Current Genomics","Curr Genomics","1389-2029","1875-5488","Bentham Science Publishers","100960527","v.18(2);Apr 2017","v.7;2006","6 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/556/
"Current Gerontology and Geriatrics Research","Curr Gerontol Geriatr Res","1687-7063","1687-7071","Hindawi Publishing Corporation","101484307","v.2017;2017","v.2008;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/882/
"Current Health Sciences Journal","Curr Health Sci J","2067-0656","2069-4032","Editura Medical&#x0103; Universitar&#x0103;","101597164","v.41(2);Apr-Jun 2015","v.35;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2325/
"Current Neuropharmacology","Curr Neuropharmacol","1570-159X","1875-6190","Bentham Science Publishers","101157239","v.15(3);Apr 2017","v.3;2005","6 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/555/
"Current Oncology","Curr Oncol","1198-0052","1718-7729","Multimed Inc.","9502503","v.24(2);Apr 2017","v.13;2006","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/481/
"Current Reviews in Musculoskeletal Medicine","Curr Rev Musculoskelet Med","1935-973X","1935-9748","Humana Press","101317803","v.10(2);Jun 2017","v.1;2008","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/838/
"Current Therapeutic Research, Clinical and Experimental","Curr Ther Res Clin Exp","0011-393X","1879-0313","Elsevier","0372621","v.83;2016","v.64;2003","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2247/
"Current Urology","Curr Urol","1661-7649","1661-7657","Karger Publishers","101471188","v.10(1);Apr 2017","v.6;2012","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1307/
"Cyberpsychology, Behavior and Social Networking","Cyberpsychol Behav Soc Netw","2152-2715","2152-2723","Mary Ann Liebert, Inc.","101528721","v.20(2);Feb 1, 2017","v.13;2010","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Cyberpsychol+Behav+Soc+Netw%22%5Bjournal%5D
"Cytogenetic and Genome Research","Cytogenet Genome Res","1424-8581","1424-859X","Karger Publishers","101142708","v.139(4);May 2013","v.118;2007","","Some"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Cytogenet+Genome+Res%22%5Bjournal%5D
"CytoJournal","Cytojournal","","1742-6413","Medknow Publications","101231642","v.14;2017","v.1;2004","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/271/
"Cytotechnology","Cytotechnology","0920-9069","1573-0778","Springer Science+Business Media B.V.","8807027","v.69(2);Apr 2017","v.23;1997","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/516/
"DARU Journal of Pharmaceutical Sciences","Daru","1560-8115","2008-2231","BioMed Central","101125969","v.25;2017","v.18;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1665/
"Data in Brief","Data Brief","","2352-3409","Elsevier","101654995","v.13;Aug 2017","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2750/
"Database: The Journal of Biological Databases and Curation","Database (Oxford)","","1758-0463","Oxford University Press","101517697","v.2017;2017","v.2009;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/973/
"Dementia and Geriatric Cognitive Disorders EXTRA","Dement Geriatr Cogn Dis Extra","","1664-5464","Karger Publishers","101564825","v.7(1);Jan-Apr 2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1589/
"Dementia and Geriatric Cognitive Disorders","Dement Geriatr Cogn Disord","1420-8008","1421-9824","Karger Publishers","9705200","v.43(3-4);Apr 2017","v.26;2008","","Some"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Dement+Geriatr+Cogn+Disord%22%5Bjournal%5D
"Demography","Demography","0070-3370","1533-7790","The Population Association of America","0226703","v.47(4);Nov 2010","v.45;2008","","No"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/1114/
"Dental Research Journal","Dent Res J (Isfahan)","1735-3327","2008-0255","Medknow Publications","101471186","v.14(1);Jan-Feb 2017","v.6;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1480/
"Dental Press Journal of Orthodontics","Dental Press J Orthod","2176-9451","2177-6709","Dental Press International","101532240","v.22(1);Jan-Feb 2017","v.19;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2644/
"Dentomaxillofacial Radiology","Dentomaxillofac Radiol","0250-832X","1476-542X","British Institute of Radiology","7609576","v.45(6);Jul 2016","v.39;2010","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1907/
"Depression Research and Treatment","Depress Res Treat","2090-1321","2090-133X","Hindawi Publishing Corporation","101546752","v.2016;2016","v.2010;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1388/
"Dermato-endocrinology","Dermatoendocrinol","1938-1972","1938-1980","Taylor &#x0026; Francis","101495367","v.9(1);2017","v.1;2009","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/932/
"Dermatology Practical &#x0026; Conceptual","Dermatol Pract Concept","","2160-9381","Derm101","101585990","v.7(2);Apr 2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2022/
"Dermatology Reports","Dermatol Reports","2036-7392","2036-7406","PAGEPress","101566470","v.9(1);Mar 13, 2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2611/
"Dermatology Research and Practice","Dermatol Res Pract","1687-6105","1687-6113","Hindawi Publishing Corporation","101312803","v.2017;2017","v.2009;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1250/
"Dermatology and Therapy","Dermatol Ther (Heidelb)","2193-8210","2190-9172","Springer","101590450","v.7(1);Mar 2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1900/
"Dermatology (Basel, Switzerland)","Dermatology","1018-8665","1421-9832","Karger Publishers","9203244","v.223(4);Mar 2012","v.217;2008","","No"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Dermatology%22%5Bjournal%5D
"Dermatopathology","Dermatopathology (Basel)","","2296-3529","Karger Publishers","101651125","v.3(4);Oct-Dec 2016","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2956/
"Developmental Immunology","Dev Immunol","1044-6672","","Hindawi Publishing Corporation","9200624","v.9(4);Dec 2002","v.1;1990","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/591/
"Developmental Neuroscience","Dev Neurosci","0378-5866","1421-9859","Karger Publishers","7809375","v.35(2-3);Jul 2013","v.31;2009","","Some"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Dev+Neurosci%22%5Bjournal%5D
"Development &#x0026; Reproduction","Dev Reprod","2465-9525","2465-9541","Korean Society of Developmental Biology","101178352","v.21(1);Mar 2017","v.16;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2584/
"Development (Cambridge, England)","Development","0950-1991","1477-9129","Company of Biologists","8701744","v.144(8);Apr 15, 2017","v.136;2009","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Development%22%5Bjournal%5D
"Diabetic Foot &#x0026; Ankle","Diabet Foot Ankle","","2000-625X","Taylor &#x0026; Francis","101575215","v.8(1);2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1744/
"Diabetes","Diabetes","0012-1797","1939-327X","American Diabetes Association","0372763","v.66(5);May 2017","v.54;2005","12 months","All"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Diabetes%22%5Bjournal%5D
"Diabetes Care","Diabetes Care","0149-5992","1935-5548","American Diabetes Association","7805975","v.40(5);May 2017","v.31;2008","12 months","All"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Diabetes+Care%22%5Bjournal%5D
"Diabetes &#x0026; Metabolism Journal","Diabetes Metab J","2233-6079","2233-6087","Korean Diabetes Association","101556588","v.41(2);Apr 2017","v.35;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1508/
"Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy","Diabetes Metab Syndr Obes","","1178-7007","Dove Press","101515585","v.10;2017","v.1;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1441/
"Diabetes Spectrum : A Publication of the American Diabetes Association","Diabetes Spectr","1040-9165","1944-7353","American Diabetes Association","8913432","v.30(1);Feb 2017","v.27;2014","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2501/
"Diabetes Technology &#x0026; Therapeutics","Diabetes Technol Ther","1520-9156","1557-8593","Mary Ann Liebert, Inc.","100889084","v.19(5);May 1, 2017","v.10;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Diabetes+Technol+Ther%22%5Bjournal%5D
"Diabetes Therapy","Diabetes Ther","1869-6953","1869-6961","Springer","101539025","v.8(2);Apr 2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1436/
"Diabetology &#x0026; Metabolic Syndrome","Diabetol Metab Syndr","","1758-5996","BioMed Central","101488958","v.9;2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/964/
"Diagnostic and Interventional Radiology","Diagn Interv Radiol","1305-3825","1305-3612","Turkish Society of Radiology","101241152","v.23(3);May 2017","v.20;2014","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2754/
"Diagnostic Pathology","Diagn Pathol","","1746-1596","BioMed Central","101251558","v.12;2017","v.1;2006","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/414/
"Diagnostic and Therapeutic Endoscopy","Diagn Ther Endosc","1070-3608","1029-0516","Hindawi Publishing Corporation","9502019","v.2017;2017","v.1;1994","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/576/
"Diagnostics","Diagnostics (Basel)","","2075-4418","Multidisciplinary Digital Publishing Institute  (MDPI)","101658402","v.7(1);Mar 2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2841/
"Dialogues in Clinical Neuroscience","Dialogues Clin Neurosci","1294-8322","1958-5969","Les Laboratoires Servier","101238198","v.19(1);Mar 2017","v.1;1999","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1550/
"Digestive Diseases (Basel, Switzerland)","Dig Dis","0257-2753","1421-9875","Karger Publishers","8701186","v.29(2);Jul 2011","v.26;2009","","No"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Dig+Dis%22%5Bjournal%5D
"Digestive Surgery","Dig Surg","0253-4886","1421-9883","Karger Publishers","8501808","v.29(2);Jun 2012","v.26;2009","","No"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Dig+Surg%22%5Bjournal%5D
"Digestion","Digestion","0012-2823","1421-9867","Karger Publishers","0150472","v.84(3);Oct 2011","v.80;2009","","Some"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Digestion%22%5Bjournal%5D
"Digital Journal of Ophthalmology : DJO","Digit J Ophthalmol","","1542-8958","Massachusetts Eye and Ear Infirmary","9605355","v.22(2);2016","v.16;2010","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1913/
"Disease Markers","Dis Markers","0278-0240","1875-8630","Hindawi Publishing Corporation","8604127","v.2017;2017","v.14;1998","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2186/
"Disease Models &#x0026; Mechanisms","Dis Model Mech","1754-8403","1754-8411","Company of Biologists","101483332","v.10(5);May 1, 2017","v.1;2008","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/777/
"Disaster Health","Disaster Health","2166-5044","2166-5052","Taylor &#x0026; Francis","101601191","v.3(4);2016","v.1;2013","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2323/
"Disaster and Military Medicine","Disaster Mil Med","","2054-314X","BioMed Central","101684519","v.3;2017","v.1;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3095/
"DNA and Cell Biology","DNA Cell Biol","1044-5498","1557-7430","Mary Ann Liebert, Inc.","9004522","v.36(5);May 1, 2017","v.27;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22DNA+Cell+Biol%22%5Bjournal%5D
"DNA Research: An International Journal for Rapid Publication of Reports on Genes and Genomes","DNA Res","1340-2838","1756-1663","Oxford University Press","9423827","v.24(2);Apr 2017","v.14;2007","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/479/
"Dose-Response","Dose Response","","1559-3258","SAGE Publications","101308899","v.15(2);Apr-Jun 2017","v.3;2005","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/614/
"Drug Design, Development and Therapy","Drug Des Devel Ther","","1177-8881","Dove Press","101475745","v.11;2017","v.1;2007","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/958/
"Drug, Healthcare and Patient Safety","Drug Healthc Patient Saf","","1179-1365","Dove Press","101544775","v.9;2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1519/
"Drug Metabolism and Disposition","Drug Metab Dispos","0090-9556","1521-009X","American Society for Pharmacology and Experimental Therapeutics","9421550","v.45(5);May 2017","v.37;2009","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Drug+Metab+Dispos%22%5Bjournal%5D
"Drug Safety - Case Reports","Drug Saf Case Rep","2199-1162","2198-977X","Springer","101674544","v.4;Dec 2017","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3063/
"Drug Target Insights","Drug Target Insights","","1177-3928","SAGE Publications","101310097","v.11;2017","v.1;2006","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1514/
"Drugs in Context","Drugs Context","1745-1981","1740-4398","JUST Medical Media Limited","101262187","v.6;2017","v.2012;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2260/
"Drugs in R&#x0026;D","Drugs R D","1174-5886","1179-6901","Springer","100883647","v.17(2);Jun 2017","v.10;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2559/
"Drugs - Real World Outcomes","Drugs Real World Outcomes","2199-1154","2198-9788","Springer","101658456","v.4(1);Mar 2017","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3007/
"Deutsches &#x000c4;rzteblatt International","Dtsch Arztebl Int","","1866-0452","Deutscher Arzte-Verlag GmbH","101475967","v.114(17);Apr 2017","v.105;2008","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/870/
"Dynamic Medicine : DM","Dyn Med","","1476-5918","BioMed Central","101152197","v.8;2009","v.1;2002","","All"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/129/
"EBioMedicine","EBioMedicine","","2352-3964","Elsevier","101647039","v.19;May 2017","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2749/
"ecancermedicalscience","Ecancermedicalscience","","1754-6605","Cancer Intelligence","101392236","v.11;2017","v.1;2007","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/899/
"Echo Research and Practice","Echo Res Pract","","2055-0464","Bioscientifica Ltd.","101664713","v.4(2);Jun 2017","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2862/
"Ecology and Evolution","Ecol Evol","","2045-7758","Wiley-Blackwell","101566408","v.7(10);May 2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1740/
"EFORT Open Reviews","EFORT Open Rev","","2058-5241","British Editorial Society of Bone and Joint Surgery","101695674","v.2(4);Apr 2017","v.1;2016","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3182/
"eGEMs","EGEMS (Wash DC)","","2327-9214","Academy Health","101629606","v.5(2);2017","v.1;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2686/
"eHealth International","eHealth Int","","1476-3591","BioMed Central","101159947","v.1;2002","v.1;2002","","All"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/125/
"Einstein","Einstein (Sao Paulo)","1679-4508","2317-6385","Instituto de Ensino e Pesquisa Albert Einstein","101281800","v.15(1);Jan-Mar 2017","v.11;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2870/
"EJC Supplements","EJC Suppl","1359-6349","1878-1217","Elsevier","101195509","v.14(1);Mar 2016","v.11;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2454/
"EJIFCC","EJIFCC","","1650-3414","International Federation of Clinical Chemistry and Laboratory Medicine","101092742","v.28(1);Mar 2017","v.19;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2920/
"EJNMMI Physics","EJNMMI Phys","","2197-7364","Springer-Verlag","101658952","v.4;Dec 2017","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2782/
"EJNMMI Research","EJNMMI Res","","2191-219X","Springer-Verlag","101560946","v.7;2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1625/
"Electrolytes &#x0026; Blood Pressure : E &#x0026; BP","Electrolyte Blood Press","1738-5997","2092-9935","Korean Society of Electrolyte Metabolism","101249217","v.14(2);Dec 2016","v.4;2006","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1413/
"Electronic Physician","Electron Physician","","2008-5842","The Electronic Physician","101645099","v.9(3);Mar 2017","v.5;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2664/
"eLife","eLife","","2050-084X","eLife Sciences Publications, Ltd","101579614","v.6;2017","v.1;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1894/
"The EMBO Journal","EMBO J","0261-4189","1460-2075","The European Molecular Biology Organization","8208664","v.36(10);May 15, 2017","v.1;1982","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/78/
"EMBO Molecular Medicine","EMBO Mol Med","1757-4676","1757-4684","Wiley-Blackwell","101487380","v.9(5);May 2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1758/
"EMBO Reports","EMBO Rep","1469-221X","1469-3178","The European Molecular Biology Organization","100963049","v.18(5);May 2017","v.1;2000","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/118/
"Emergency","Emerg (Tehran)","2345-4563","2345-4571","Shahid Beheshti University of Medical Sciences","101648866","v.5(1);2017","v.1;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2832/
"Emerging Health Threats Journal","Emerg Health Threats J","","1752-8550","Taylor &#x0026; Francis","101484599","v.8;2015","v.1;2008","","All"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/1583/
"Emerging Infectious Diseases","Emerg Infect Dis","1080-6040","1080-6059","Centers for Disease Control and Prevention","9508155","v.23(6);Jun 2017","v.1;1995","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/782/
"Emergency Medicine International","Emerg Med Int","2090-2840","2090-2859","Hindawi Publishing Corporation","101567070","v.2017;2017","v.2010;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1630/
"Emergency Medicine Journal : EMJ","Emerg Med J","1472-0205","1472-0213","BMJ Publishing Group","100963089","v.24(12);Dec 2007","v.18;2001","","No"," Full "," Now Select ",http://www.ncbi.nlm.nih.gov/pmc/journals/155/
"Emerging Microbes &#x0026; Infections","Emerg Microbes Infect","","2222-1751","Nature Publishing Group","101594885","v.6(3);Mar 2017","v.1;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2040/
"Emerging Themes in Epidemiology","Emerg Themes Epidemiol","","1742-7622","BioMed Central","101232986","v.14;2017","v.1;2004","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/284/
"Endocrine Connections","Endocr Connect","","2049-3614","Bioscientifica Ltd.","101598413","v.6(4);May 2017","v.1;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2122/
"Endocrine Reviews","Endocr Rev","0163-769X","1945-7189","The Endocrine Society","8006258","v.37(6);Dec 2016","v.29;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Endocr+Rev%22%5Bjournal%5D
"Endocrinology, Diabetes &#x0026; Metabolism Case Reports","Endocrinol Diabetes Metab Case Rep","","2052-0573","Bioscientifica","101618943","v.2017;2017","v.2013;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2316/
"Endocrinology and Metabolism","Endocrinol Metab (Seoul)","2093-596X","2093-5978","Korean Endocrinology Society","101554139","v.32(1);Mar 2017","v.28;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2217/
"Endocrinology","Endocrinology","0013-7227","1945-7170","The Endocrine Society","0375040","v.158(2);Feb 1, 2017","v.149;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Endocrinology%22%5Bjournal%5D
"Endoscopy International Open","Endosc Int Open","2364-3722","2196-9736","Thieme Medical Publishers","101639919","v.5(6);Jun 2017","v.1;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2693/
"Endoscopic Ultrasound","Endosc Ultrasound","2303-9027","2226-7190","Medknow Publications","101622292","v.6(2);Mar-Apr 2017","v.1;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2400/
"eNeuro","eNeuro","","2373-2822","Society for Neuroscience","101647362","v.4(3);May-Jun 2017","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2821/
