JournalTitle,MedAbbr,NlmId,ImpactFactor
Current opinion in nephrology and hypertension,Curr Opin Nephrol Hypertens,9303753,3.509
IEEE transactions on multimedia,IEEE Trans Multimedia,101210915,3.509
Orphanet journal of rare diseases,Orphanet J Rare Dis,101266602,3.507
The Gerontologist,Gerontologist,0375327,3.505
Journal of cancer research and clinical oncology,J Cancer Res Clin Oncol,7902060,3.503
Journal of neuropathology and experimental neurology,J Neuropathol Exp Neurol,2985192R,3.503
Marine drugs,Mar Drugs,101213729,3.503
Journal of biological rhythms,J Biol Rhythms,8700115,3.5
Functional & integrative genomics,Funct Integr Genomics,100939343,3.496
Climatic change,Clim Change,101087507,3.496
Food control,Food Control,9010387,3.496
Journal of environmental psychology,J Environ Psychol,8109052,3.494
Stem cell research,Stem Cell Res,101316957,3.494
British journal of clinical pharmacology,Br J Clin Pharmacol,7503323,3.493
International journal of production economics,Int J Prod Econ,101701805,3.493
Cytokine,Cytokine,9005353,3.488
Tissue engineering,Tissue Eng,9505538,3.485
Investigational new drugs,Invest New Drugs,8309330,3.484
Journal of hydrology,J Hydrol (Amst),9882987,3.483
Heart failure reviews,Heart Fail Rev,9612481,3.481
Open biology,Open Biol,101580419,3.481
Harvard law review,Harv Law Rev,7703681,3.477
Journal of clinical periodontology,J Clin Periodontol,0425123,3.477
European journal of soil science,Eur J Soil Sci,101286282,3.475
CrystEngComm,CrystEngComm,101512557,3.474
Public administration review,Public Adm Rev,0045715,3.473
Journal of analytical and applied pyrolysis,J Anal Appl Pyrolysis,7910736,3.471
Journal of neuroendocrinology,J Neuroendocrinol,8913461,3.47
Drug testing and analysis,Drug Test Anal,101483449,3.469
International journal of computer-supported collaborative learning,Int J Comput Support Collab Learn,101670409,3.469
Journal of neural engineering,J Neural Eng,101217933,3.465
Nonlinear dynamics,Nonlinear Dyn,101492213,3.464
Current opinion in allergy and clinical immunology,Curr Opin Allergy Clin Immunol,100936359,3.463
Geobiology,Geobiology,101185472,3.462
Journal of educational psychology,J Educ Psychol,0135751,3.459
International journal of heat and mass transfer,Int J Heat Mass Transf,101492571,3.458
Journal of dentistry,J Dent,0354422,3.456
Journal of quantitative criminology,J Quant Criminol,101512033,3.456
Journal of gastroenterology and hepatology,J Gastroenterol Hepatol,8607909,3.452
IEEE journal of biomedical and health informatics,IEEE J Biomed Health Inform,101604520,3.451
Acta orthopaedica,Acta Orthop,101231512,3.446
Cognitive computation,Cognit Comput,101499358,3.441
Nanotechnology,Nanotechnology,101241272,3.44
Expert opinion on drug safety,Expert Opin Drug Saf,101163027,3.439
Targeted oncology,Target Oncol,101270595,3.438
IEEE transactions on knowledge and data engineering,IEEE Trans Knowl Data Eng,9887654,3.438
Drug safety,Drug Saf,9002928,3.435
Computers in human behavior,Comput Human Behav,8510313,3.435
Heart and vessels,Heart Vessels,8511258,3.434
Preventive medicine,Prev Med,0322116,3.434
Behavior therapy,Behav Ther,1251640,3.434
Clinical lung cancer,Clin Lung Cancer,100893225,3.434
Preventive medicine,Prev Med (Baltim),0023410,3.434
Biology of reproduction,Biol Reprod,0207224,3.432
Journal of affective disorders,J Affect Disord,7906073,3.432
Clinical chemistry and laboratory medicine,Clin Chem Lab Med,9806306,3.432
Analytical and bioanalytical chemistry,Anal Bioanal Chem,101134327,3.431
Helicobacter,Helicobacter,9605411,3.429
Biogeochemistry,Biogeochemistry,9880568,3.428
"Radiographics : a review publication of the Radiological Society of North America, Inc",Radiographics,8302501,3.427
Organogenesis,Organogenesis,101253266,3.426
Applied microbiology and biotechnology,Appl Microbiol Biotechnol,8406612,3.42
"Nutrition (Burbank, Los Angeles County, Calif.)",Nutrition,8802712,3.42
European psychologist,Eur Psychol,9610306,3.419
"Cellulose (London, England)",Cellulose (Lond),101215688,3.417
Diabetes & vascular disease research,Diab Vasc Dis Res,101234011,3.417
Optics letters,Opt Lett,7708433,3.416
Current opinion in oncology,Curr Opin Oncol,9007265,3.414
Cognition,Cognition,0367541,3.414
Applied physics letters,Appl Phys Lett,9881183,3.411
Journal of the European Ceramic Society,J Eur Ceram Soc,101575290,3.411
Metrologia,Metrologia,101241528,3.411
Clinical and experimental immunology,Clin Exp Immunol,0057202,3.41
Molecular brain,Mol Brain,101468876,3.41
International organization,Int Organ,9875518,3.406
Appetite,Appetite,8006808,3.403
Current opinion in chemical engineering,Curr Opin Chem Eng,101590557,3.403
Soil & tillage research,Soil Tillage Res,101668842,3.401
Clinics in liver disease,Clin Liver Dis,9710002,3.4
Work and stress,Work Stress,8707605,3.4
Pediatric obesity,Pediatr Obes,101572033,3.4
Journal of the Academy of Nutrition and Dietetics,J Acad Nutr Diet,101573920,3.399
Organic electronics,Org Electron,101588591,3.399
Brain topography,Brain Topogr,8903034,3.394
ISA transactions,ISA Trans,0374750,3.394
Sleep medicine,Sleep Med,100898759,3.391
Progress in oceanography,Prog Oceanogr,0115534,3.391
International security,Int Secur,100968236,3.39
Journal of neurology,J Neurol,0423161,3.389
3D printing and additive manufacturing,3D Print Addit Manuf,101649453,3.389
Current diabetes reports,Curr Diab Rep,101093791,3.387
Applied surface science,Appl Surf Sci,101307063,3.387
Transfusion,Transfusion,0417360,3.386
Transfusion,Transfusion (Paris),0155412,3.386
Polymer degradation and stability,Polym Degrad Stab,101248930,3.386
Limnology and oceanography,Limnol Oceanogr,9882871,3.383
Econometrica : journal of the Econometric Society,Econometrica,101085302,3.379
Journal of analytical atomic spectrometry,J Anal At Spectrom,8608254,3.379
Hormones and behavior,Horm Behav,0217764,3.378
Environment and behavior,Environ Behav,0333501,3.378
Journal of attention disorders,J Atten Disord,9615686,3.378
Progress in physical geography,Prog Phys Geogr,101620785,3.375
Survey of ophthalmology,Surv Ophthalmol,0404551,3.374
Future microbiology,Future Microbiol,101278120,3.374
World journal of gastroenterology,World J Gastroenterol,100883448,3.365
Current neuropharmacology,Curr Neuropharmacol,101157239,3.365
Polymers,Polymers (Basel),101545357,3.364
Environmental microbiology reports,Environ Microbiol Rep,101499207,3.363
Cancer medicine,Cancer Med,101595310,3.362
Planta,Planta,1250576,3.361
Chemistry and physics of lipids,Chem Phys Lipids,0067206,3.361
Separation and purification technology,Sep Purif Technol,101526757,3.359
Plant molecular biology,Plant Mol Biol,9106343,3.356
Applied thermal engineering,Appl Therm Eng,101635090,3.356
Journal of business research,J Bus Res,101087747,3.354
Virology,Virology,0110674,3.353
Journal of applied physiology,J Appl Physiol,0376576,3.351
Mitochondrial DNA,Mitochondrial DNA,101487102,3.35
Journal of inorganic biochemistry,J Inorg Biochem,7905788,3.348
Chemical geology,Chem Geol,100971315,3.347
"Bioelectrochemistry (Amsterdam, Netherlands)",Bioelectrochemistry,100953583,3.346
Current neurology and neuroscience reports,Curr Neurol Neurosci Rep,100931790,3.345
European cells & materials,Eur Cell Mater,100973416,3.343
Ocean modelling,Ocean Model (Oxf),101701819,3.341
Acta diabetologica,Acta Diabetol,9200299,3.34
Experimental gerontology,Exp Gerontol,0047061,3.34
International journal of food microbiology,Int J Food Microbiol,8412849,3.339
Computer communications,Comput Commun,101570583,3.338
Biomedical optics express,Biomed Opt Express,101540630,3.337
Experimental eye research,Exp Eye Res,0370707,3.332
Scandinavian journal of medicine & science in sports,Scand J Med Sci Sports,9111504,3.331
Physiologia plantarum,Physiol Plant,1256322,3.33
Seminars in fetal & neonatal medicine,Semin Fetal Neonatal Med,101240003,3.33
Catalysis communications,Catal Commun,101126473,3.33
"Joint, bone, spine : revue du rhumatisme",Joint Bone Spine,100938016,3.329
Transport reviews,Transp Rev,101697788,3.329
Journal of clinical gastroenterology,J Clin Gastroenterol,7910017,3.328
Clinical endocrinology,Clin Endocrinol (Oxf),0346653,3.327
Human genomics,Hum Genomics,101202210,3.327
Clinical genetics,Clin Genet,0253664,3.326
Applied nanoscience,Appl Nanosci,101658128,3.325
Biomechanics and modeling in mechanobiology,Biomech Model Mechanobiol,101135325,3.323
Journal of autism and developmental disorders,J Autism Dev Disord,7904301,3.321
Arthritis care & research,Arthritis Care Res (Hoboken),101518086,3.319
Neurocomputing,Neurocomputing,9884927,3.317
Current opinion in critical care,Curr Opin Crit Care,9504454,3.316
British journal of political science,Br J Polit Sci,100966626,3.316
Psychopharmacology,Psychopharmacology (Berl),7608025,3.308
Psychological assessment,Psychol Assess,8915253,3.307
Optics express,Opt Express,101137103,3.307
Contrast media & molecular imaging,Contrast Media Mol Imaging,101286760,3.307
Investigative ophthalmology & visual science,Invest Ophthalmol Vis Sci,7703701,3.303
Plasma sources science & technology,Plasma Sources Sci Technol,101649113,3.302
FEMS yeast research,FEMS Yeast Res,101085384,3.299
European journal of operational research,Eur J Oper Res,100973201,3.297
European child & adolescent psychiatry,Eur Child Adolesc Psychiatry,9212296,3.295
BMC medical research methodology,BMC Med Res Methodol,100968545,3.295
Cancer biology & therapy,Cancer Biol Ther,101137842,3.294
Archives of physical medicine and rehabilitation,Arch Phys Med Rehabil,2985158R,3.289
BMC cancer,BMC Cancer,100967800,3.288
Neuromolecular medicine,Neuromolecular Med,101135365,3.287
Neuropsychology,Neuropsychology,8904467,3.286
Mammal review,Mamm Rev,7505658,3.286
Journal of youth and adolescence,J Youth Adolesc,0333507,3.284
International journal of health geographics,Int J Health Geogr,101152198,3.282
Journal of natural products,J Nat Prod,7906882,3.281
Journal of natural products,J Nat Prod (Gorakhpur),101685032,3.281
International reviews of immunology,Int Rev Immunol,8712260,3.279
Chemical research in toxicology,Chem Res Toxicol,8807448,3.278
European journal of psychotraumatology,Eur J Psychotraumatol,101559025,3.278
Neuroscience,Neuroscience,7605074,3.277
IEEE robotics & automation magazine,IEEE Robot Autom Mag,101212340,3.276
Journal of immunology research,J Immunol Res,101627166,3.276
Clinical proteomics,Clin Proteomics,101184586,3.274
Biological chemistry,Biol Chem,9700112,3.273
Expert review of clinical immunology,Expert Rev Clin Immunol,101271248,3.27
Neurogenetics,Neurogenetics,9709714,3.269
Frontiers in neuroanatomy,Front Neuroanat,101477943,3.267
Archives of disease in childhood,Arch Dis Child,0372434,3.265
American journal of cancer research,Am J Cancer Res,101549944,3.264
Neurochemistry international,Neurochem Int,8006959,3.262
Journal of sleep research,J Sleep Res,9214441,3.259
Journal of the Electrochemical Society,J Electrochem Soc,7505603,3.259
HIV medicine,HIV Med,100897392,3.257
"Respirology (Carlton, Vic.)",Respirology,9616368,3.256
Journal of pharmaceutical and biomedical analysis,J Pharm Biomed Anal,8309336,3.255
Maturitas,Maturitas,7807333,3.255
Freshwater biology,Freshw Biol,100940627,3.255
Paleoceanography,Paleoceanography,100955514,3.254
Journal of clinical immunology,J Clin Immunol,8102137,3.253
Pest management science,Pest Manag Sci,100898744,3.253
"Emotion (Washington, D.C.)",Emotion,101125678,3.251
IEEE pervasive computing,IEEE Pervasive Comput,101212020,3.25
Current medicinal chemistry,Curr Med Chem,9440157,3.249
Reproductive biomedicine online,Reprod Biomed Online,101122473,3.249
Postharvest biology and technology,Postharvest Biol Technol,9884964,3.248
Current opinion in gastroenterology,Curr Opin Gastroenterol,8506887,3.247
Food & function,Food Funct,101549033,3.247
Development and psychopathology,Dev Psychopathol,8910645,3.244
Remote sensing,Remote Sens (Basel),101624426,3.244
"IEEE access : practical innovations, open solutions",IEEE Access,101639462,3.244
Journal of mammary gland biology and neoplasia,J Mammary Gland Biol Neoplasia,9601804,3.243
Journal of clinical hypertension,J Clin Hypertens,8510461,3.242
Clinical and translational allergy,Clin Transl Allergy,101576043,3.239
Macromolecular bioscience,Macromol Biosci,101135941,3.238
"BioFactors (Oxford, England)",Biofactors,8807441,3.236
Clinical oncology,Clin Oncol,7511426,3.236
Molecular immunology,Mol Immunol,7905289,3.236
AIDS patient care and STDs,AIDS Patient Care STDS,9607225,3.236
Current drug targets,Curr Drug Targets,100960531,3.236
Vaccine,Vaccine,8406899,3.235
"Cerebellum (London, England)",Cerebellum,101089443,3.234
ACS biomaterials science & engineering,ACS Biomater Sci Eng,101654670,3.234
Clinics in perinatology,Clin Perinatol,7501306,3.233
Mediators of inflammation,Mediators Inflamm,9209001,3.232
Bioorganic chemistry,Bioorg Chem,1303703,3.231
Biogerontology,Biogerontology,100930043,3.231
Fungal biology reviews,Fungal Biol Rev,101320029,3.231
Ticks and tick-borne diseases,Ticks Tick Borne Dis,101522599,3.23
Journal of computational chemistry,J Comput Chem,9878362,3.229
Developmental psychology,Dev Psychol,0260564,3.228
Harvard business review,Harv Bus Rev,9875796,3.227
International journal of molecular sciences,Int J Mol Sci,101092791,3.226
ChemMedChem,ChemMedChem,101259013,3.225
Acta pharmacologica Sinica,Acta Pharmacol Sin,100956087,3.223
Drug and alcohol dependence,Drug Alcohol Depend,7513587,3.222
Decision support systems,Decis Support Syst,101550449,3.222
Annals of biomedical engineering,Ann Biomed Eng,0361512,3.221
BMC evolutionary biology,BMC Evol Biol,100966975,3.221
Advances in water resources,Adv Water Resour,101471228,3.221
Fungal ecology,Fungal Ecol,101496718,3.219
Biomass & bioenergy,Biomass Bioenergy,9885795,3.219
Developmental and comparative immunology,Dev Comp Immunol,7708205,3.218
Respiratory medicine,Respir Med,8908438,3.217
Sexually transmitted infections,Sex Transm Infect,9805554,3.212
Nutrition journal,Nutr J,101152213,3.211
International journal of medical informatics,Int J Med Inform,9711057,3.21
Frontiers in human neuroscience,Front Hum Neurosci,101477954,3.209
Journal of neurovirology,J Neurovirol,9508123,3.206
Phytochemistry,Phytochemistry,0151434,3.205
Endocrinology and metabolism clinics of North America,Endocrinol Metab Clin North Am,8800104,3.204
Cytotherapy,Cytotherapy,100895309,3.203
Current opinion in hematology,Curr Opin Hematol,9430802,3.2
Neuroinformatics,Neuroinformatics,101142069,3.2
Food quality and preference,Food Qual Prefer,101224806,3.199
Anatomical sciences education,Anat Sci Educ,101392205,3.198
Neuropsychologia,Neuropsychologia,0020713,3.197
ACM transactions on intelligent systems and technology,ACM Trans Intell Syst Technol,101592728,3.196
AIDS reviews,AIDS Rev,101134876,3.195
Free radical research,Free Radic Res,9423872,3.188
Seminars in perinatology,Semin Perinatol,7801132,3.185
Journal of cardiovascular computed tomography,J Cardiovasc Comput Tomogr,101308347,3.185
Industrial crops and products,Ind Crops Prod,101514040,3.181
Infectious diseases of poverty,Infect Dis Poverty,101606645,3.181
Journal of research in science teaching,J Res Sci Teach,101665844,3.179
International journal of methods in psychiatric research,Int J Methods Psychiatr Res,9111433,3.176
Basic & clinical pharmacology & toxicology,Basic Clin Pharmacol Toxicol,101208422,3.176
Amino acids,Amino Acids,9200312,3.173
Cellular immunology,Cell Immunol,1246405,3.172
Construction and building materials,Constr Build Mater,101672690,3.169
ACS combinatorial science,ACS Comb Sci,101540531,3.168
Progress in histochemistry and cytochemistry,Prog Histochem Cytochem,0253725,3.167
Archives of biochemistry and biophysics,Arch Biochem Biophys,0372430,3.165
Contemporary physics,Contemp Phys,16410390R,3.162
Data mining and knowledge discovery,Data Min Knowl Discov,101512456,3.16
Journal of personality disorders,J Pers Disord,8710838,3.158
Acta ophthalmologica,Acta Ophthalmol (Copenh),0370347,3.157
International journal of chronic obstructive pulmonary disease,Int J Chron Obstruct Pulmon Dis,101273481,3.157
Acta ophthalmologica,Acta Ophthalmol,101468102,3.157
Acta oncologica,Acta Oncol (Madr),0370346,3.156
Journal of agricultural and food chemistry,J Agric Food Chem,0374755,3.154
Reactive & functional polymers,React Funct Polym,101512453,3.151
Expert review of neurotherapeutics,Expert Rev Neurother,101129944,3.149
IEEE transactions on affective computing,IEEE Trans Affect Comput,101635097,3.149
Fish & shellfish immunology,Fish Shellfish Immunol,9505220,3.148
Marine pollution bulletin,Mar Pollut Bull,0260231,3.146
Clinical & experimental metastasis,Clin Exp Metastasis,8409970,3.144
Journal of functional foods,J Funct Foods,101513493,3.144
Chemico-biological interactions,Chem Biol Interact,0227276,3.143
Journal of bacteriology,J Bacteriol,2985120R,3.143
IUBMB life,IUBMB Life,100888706,3.141
Journal of gynecologic oncology,J Gynecol Oncol,101483150,3.14
Intermetallics,Intermetallics (Barking),101670344,3.14
Neurosurgical focus,Neurosurg Focus,100896471,3.139
Expert review of anti-infective therapy,Expert Rev Anti Infect Ther,101181284,3.139
Journal of occupational and organizational psychology,J Occup Organ Psychol,9209845,3.139
Journal of rheology,J Rheol (N Y N Y),9884286,3.136
Journal of alloys and compounds,J Alloys Compd,101512115,3.133
Palaeontology,Palaeontology,101087145,3.132
Endocrine,Endocrine,9434444,3.131
Icarus,Icarus,9890634,3.131
Oecologia,Oecologia,0150372,3.13
Journal of physical oceanography,J Phys Oceanogr,101526036,3.13
Beilstein journal of nanotechnology,Beilstein J Nanotechnol,101551563,3.127
Meat science,Meat Sci,101160862,3.126
Media psychology,Media Psychol,101481492,3.125
Calcified tissue international,Calcif Tissue Int,7905481,3.124
Journal of biomolecular structure & dynamics,J Biomol Struct Dyn,8404176,3.123
Journal of plant physiology,J Plant Physiol,9882059,3.121
Hematological oncology,Hematol Oncol,8307268,3.118
Developmental medicine and child neurology,Dev Med Child Neurol,0006761,3.116
Nanophotonics,Nanophotonics,101607802,3.114
Transplantation reviews,Transplant Rev,0215244,3.113
"Shock (Augusta, Ga.)",Shock,9421564,3.113
Biochimie,Biochimie,1264604,3.112
Glycobiology,Glycobiology,9104124,3.112
Gene therapy,Gene Ther,9421525,3.11
Signal processing,Signal Processing,101273722,3.11
Journal of the mechanical behavior of biomedical materials,J Mech Behav Biomed Mater,101322406,3.11
Journal of cognitive neuroscience,J Cogn Neurosci,8910747,3.108
RSC advances,RSC Adv,101581657,3.108
Annual review of statistics and its application,Annu Rev Stat Appl,101622422,3.108
Journal of anxiety disorders,J Anxiety Disord,8710131,3.105
Advances in inorganic chemistry,Adv Inorg Chem,8801244,3.105
Kidney & blood pressure research,Kidney Blood Press Res,9610505,3.104
Frontiers in behavioral neuroscience,Front Behav Neurosci,101477952,3.104
Marine environmental research,Mar Environ Res,9882895,3.101
Applied clay science,Appl Clay Sci,101525617,3.101
Neurotoxicology,Neurotoxicology,7905589,3.1
"Reproduction (Cambridge, England)",Reproduction,100966036,3.1
Expert review of molecular diagnostics,Expert Rev Mol Diagn,101120777,3.1
Journal of food engineering,J Food Eng,9883952,3.099
Psycho-oncology,Psychooncology,9214524,3.095
Ore geology reviews,Ore Geol Rev,101668802,3.095
Environmental impact assessment review,Environ Impact Assess Rev,8100354,3.094
Drug delivery and translational research,Drug Deliv Transl Res,101540061,3.094
Medical microbiology and immunology,Med Microbiol Immunol,0314524,3.093
Health services research,Health Serv Res,0053006,3.089
Land use policy,Land use policy,101085960,3.089
Biology letters,Biol Lett,101247722,3.089
BMB reports,BMB Rep,101465334,3.089
Atmospheric measurement techniques,Atmos Meas Tech,101622298,3.089
Acta neurologica Scandinavica,Acta Neurol Scand,0370336,3.087
Mechanisms of ageing and development,Mech Ageing Dev,0347227,3.087
Harmful algae,Harmful Algae,101128968,3.087
Food policy,Food Policy,101084288,3.086
Angiology,Angiology,0203706,3.085
Journal of cellular biochemistry,J Cell Biochem,8205768,3.085
Annals of hematology,Ann Hematol,9107334,3.083
Journal of classification,J Classif,9882909,3.083
"Catalysts (Basel, Switzerland)",Catalysts,101695672,3.082
Organic geochemistry,Org Geochem,100971475,3.081
Biofouling,Biofouling,9200331,3.08
Parasites & vectors,Parasit Vectors,101462774,3.08
International journal of oncology,Int J Oncol,9306042,3.079
Chemphyschem : a European journal of chemical physics and physical chemistry,Chemphyschem,100954211,3.075
Current opinion in organ transplantation,Curr Opin Organ Transplant,9717388,3.073
Biological psychology,Biol Psychol,0375566,3.07
Journal of cardiovascular electrophysiology,J Cardiovasc Electrophysiol,9010756,3.068
Journal of drug targeting,J Drug Target,9312476,3.068
Journal of memory and language,J Mem Lang,8606159,3.065
Forest ecology and management,For Ecol Manage,101132357,3.064
Assessment,Assessment,9431219,3.062
Expert opinion on emerging drugs,Expert Opin Emerg Drugs,101135662,3.062
Journal of minimally invasive gynecology,J Minim Invasive Gynecol,101235322,3.061
European journal of clinical nutrition,Eur J Clin Nutr,8804070,3.057
Travel medicine and infectious disease,Travel Med Infect Dis,101230758,3.055
Molecules and cells,Mol Cells,9610936,3.054
Neural plasticity,Neural Plast,100883417,3.054
Plant and soil,Plant Soil,9882808,3.052
American journal of botany,Am J Bot,0370467,3.05
GIScience & remote sensing,GIsci Remote Sens,101576832,3.049
Field crops research,Field Crops Res,101147219,3.048
Journal of food and drug analysis,J Food Drug Anal,101630927,3.048
Mycorrhiza,Mycorrhiza,100955036,3.047
Ad hoc networks,Ad Hoc Netw,101236199,3.047
British medical bulletin,Br Med Bull,0376542,3.045
Physiological genomics,Physiol Genomics,9815683,3.044
Expert opinion on therapeutic patents,Expert Opin Ther Pat,9516419,3.041
Annalen der Physik,Ann Phys,14940290R,3.039
Journal of diabetes,J Diabetes,101504326,3.039
Journal of diabetes investigation,J Diabetes Investig,101520702,3.039
Microbiological research,Microbiol Res,9437794,3.037
Journal of the Geological Society,J Geol Soc London,100971363,3.037
Current hypertension reports,Curr Hypertens Rep,100888982,3.036
Journal of intelligent manufacturing,J Intell Manuf,101530954,3.035
Brain research bulletin,Brain Res Bull,7605818,3.033
Developmental neuroscience,Dev Neurosci,7809375,3.033
Journal of periodontology,J Periodontol,8000345,3.03
ASN neuro,ASN Neuro,101507115,3.03
Toxins,Toxins (Basel),101530765,3.03
IEEE microwave magazine,IEEE Microw Mag,101210898,3.029
Journal of computer-aided molecular design,J Comput Aided Mol Des,8710425,3.028
Expert opinion on drug metabolism & toxicology,Expert Opin Drug Metab Toxicol,101228422,3.027
Translational oncology,Transl Oncol,101472619,3.025
Computers & chemical engineering,Comput Chem Eng,101515574,3.024
Trends in hearing,Trends Hear,101635698,3.024
Annals of statistics,Ann Stat,0365252,3.023
Purinergic signalling,Purinergic Signal,101250499,3.022
Communication research,Communic Res,100973080,3.021
Health informatics journal,Health Informatics J,100883604,3.021
International journal of geriatric psychiatry,Int J Geriatr Psychiatry,8710629,3.018
Research synthesis methods,Res Synth Methods,101543738,3.018
International endodontic journal,Int Endod J,8004996,3.015
Mindfulness,Mindfulness (N Y),101518348,3.015
Human pathology,Hum Pathol,9421547,3.014
Hydrological processes,Hydrol Process,101534565,3.014
Journal of synchrotron radiation,J Synchrotron Radiat,9888878,3.011
Physiotherapy,Physiotherapy,0401223,3.01
MRS communications,MRS Commun,101582727,3.01
Cell transplantation,Cell Transplant,9208854,3.006
Frontiers in neural circuits,Front Neural Circuits,101477940,3.005
Behavioural brain research,Behav Brain Res,8004872,3.002
Pharmaceutical research,Pharm Res,8406521,3.002
Journal of health and social behavior,J Health Soc Behav,0103130,3
Journal of cardiovascular pharmacology and therapeutics,J Cardiovasc Pharmacol Ther,9602617,3
Journal of school psychology,J Sch Psychol,0050303,3
Preslia,Preslia,101290126,3
Asian journal of andrology,Asian J Androl,100942132,2.996
Journal of surgical oncology,J Surg Oncol,0222643,2.993
Eukaryotic cell,Eukaryot Cell,101130731,2.992
Current cancer drug targets,Curr Cancer Drug Targets,101094211,2.992
Translational behavioral medicine,Transl Behav Med,101554668,2.989
Antimicrobial resistance and infection control,Antimicrob Resist Infect Control,101585411,2.989
Harvard review of psychiatry,Harv Rev Psychiatry,9312789,2.986
Ceramics international,Ceram Int,101653487,2.986
Progress in molecular biology and translational science,Prog Mol Biol Transl Sci,101498165,2.984
Journal of teacher education,J Teach Educ,101538627,2.984
EXPRESS polymer letters,Express Polym Lett,101622131,2.983
Intelligence,Intelligence,7707496,2.982
Journal of European public policy,J Eur Public Policy,101669871,2.982
Journal of ethnopharmacology,J Ethnopharmacol,7903310,2.981
Journal of neuro-oncology,J Neurooncol,8309335,2.98
Archivos de bronconeumologia,Arch Bronconeumol,0354720,2.979
Current topics in membranes,Curr Top Membr,9212591,2.976
Nutrition & metabolism,Nutr Metab (Lond),101231644,2.974
Developmental neurobiology,Dev Neurobiol,101300215,2.972
International clinical psychopharmacology,Int Clin Psychopharmacol,8609061,2.968
Pancreas,Pancreas,8608542,2.967
Journal of systematic palaeontology,J Syst Palaeontol,101671673,2.963
International biodeterioration & biodegradation,Int Biodeterior Biodegradation,9300892,2.962
European journal of internal medicine,Eur J Intern Med,9003220,2.96
Public administration,Public Adm,19920220R,2.959
IEEE transactions on antennas and propagation,IEEE Trans Antennas Propag,9879624,2.957
International immunopharmacology,Int Immunopharmacol,100965259,2.956
Recent patents on anti-cancer drug discovery,Recent Pat Anticancer Drug Discov,101266081,2.956
Current problems in surgery,Curr Probl Surg,0372617,2.955
Inflammation,Inflammation,7600105,2.955
Current Alzheimer research,Curr Alzheimer Res,101208441,2.952
Environmental toxicology and chemistry,Environ Toxicol Chem,8308958,2.951
Journal of geodesy,J Geod,101668722,2.949
Clinical therapeutics,Clin Ther,7706726,2.947
Inventiones mathematicae,Invent Math,101690572,2.946
Addictive behaviors,Addict Behav,7603486,2.944
Developmental biology,Dev Biol,0372762,2.944
California management review,Calif Manage Rev,9877019,2.943
Neurotoxicity research,Neurotox Res,100929017,2.942
Powder technology,Powder Technol,9887892,2.942
IEEE transactions on terahertz science and technology,IEEE Trans Terahertz Sci Technol,101593215,2.94
Cellular and molecular neurobiology,Cell Mol Neurobiol,8200709,2.939
Clinical implant dentistry and related research,Clin Implant Dent Relat Res,100888977,2.939
Bioinspiration & biomimetics,Bioinspir Biomim,101292902,2.939
Biochemistry,Biochemistry,0370623,2.938
International journal of impact engineering,Int J Impact Eng,100971379,2.938
Environmental toxicology,Environ Toxicol,100885357,2.937
IEEE transactions on industry applications,IEEE Trans Ind Appl,101214002,2.937
IEEE transactions on biomedical circuits and systems,IEEE Trans Biomed Circuits Syst,101312520,2.937
"ChemNanoMat : chemistry of nanomaterials for energy, biology and more",ChemNanoMat,101693711,2.937
Gastroenterology clinics of North America,Gastroenterol Clin North Am,8706257,2.936
Life sciences,Life Sci,0375521,2.936
Biochemia medica,Biochem Med (Zagreb),9610305,2.934
Newsletters on stratigraphy,Newsl Stratigr,101662147,2.933
Pharmacotherapy,Pharmacotherapy,8111305,2.932
Expert review of clinical pharmacology,Expert Rev Clin Pharmacol,101278296,2.932
American educational research journal,Am Educ Res J,9879361,2.931
Bioorganic & medicinal chemistry,Bioorg Med Chem,9413298,2.93
Body image,Body Image,101222431,2.926
IEEE transactions on dependable and secure computing,IEEE Trans Dependable Secure Comput,101231284,2.926
Beneficial microbes,Benef Microbes,101507616,2.923
Social psychiatry and psychiatric epidemiology,Soc Psychiatry Psychiatr Epidemiol,8804358,2.922
Psychonomic bulletin & review,Psychon Bull Rev,9502924,2.921
Current opinion in ophthalmology,Curr Opin Ophthalmol,9011108,2.92
International journal of quantum chemistry,Int J Quantum Chem,9892351,2.92
Journal of informetrics,J Informetr,101526006,2.92
Clinical and experimental medicine,Clin Exp Med,100973405,2.919
Regional environmental change,Reg Environ Change,101651084,2.919
Archives of pathology & laboratory medicine,Arch Pathol Lab Med,7607091,2.918
ChemistryOpen,ChemistryOpen,101594811,2.918
Cognitive science,Cogn Sci,7708195,2.917
International review of sport and exercise psychology,Int Rev Sport Exerc Psychol,101477270,2.917
AIDS and behavior,AIDS Behav,9712133,2.916
Journal of Cancer,J Cancer,101535920,2.916
Ecological engineering,Ecol Eng,9886382,2.914
Experimental physiology,Exp Physiol,9002940,2.912
Population health metrics,Popul Health Metr,101178411,2.91
Microbes and environments,Microbes Environ,9710937,2.909
Molecular oral microbiology,Mol Oral Microbiol,101524770,2.908
Bioscience reports,Biosci Rep,8102797,2.906
Hearing research,Hear Res,7900445,2.906
Coral reefs (Online),Coral Reefs,101186431,2.906
Journal of pain and symptom management,J Pain Symptom Manage,8605836,2.905
Immunologic research,Immunol Res,8611087,2.905
Rock mechanics and rock engineering,Rock Mech Rock Eng,101671075,2.905
Tribology international,Tribol Int,101633740,2.903
